name,external_id
3D printing service,three_d_printing_service
ATM,atm
ATV dealer,atv_dealer
ATV rental service,atv_rental_service
ATV repair shop,atv_repair_shop
Aadhar center,aadhar_center
Abarth dealer,abarth_dealer
Abbey,abbey
Aboriginal and Torres Strait Islander organisation,aboriginal_and_torres_strait_islander_organisation
Aboriginal art gallery,aboriginal_art_gallery
Abortion clinic,abortion_clinic
Abrasives supplier,abrasives_supplier
Abundant Life church,abundant_life_church
Academic department,university_department
Acaraje restaurant,acaraje_restaurant
Accountant,accountant
Accounting firm,accounting_firm
Accounting school,accounting_school
Accounting software company,accounting_software_company
Acoustical consultant,acoustical_consultant
Acrobatic diving pool,acrobatic_diving_pool
Acrylic store,acrylic_store
Acupuncture clinic,acupuncture_clinic
Acupuncture school,acupuncture_school
Acupuncturist,acupuncturist
Acura dealer,acura_dealer
Adaptive sports center,disabled_sports_center
Addiction treatment center,addiction_treatment_center
Administrative attorney,administrative_attorney
Adoption agency,adoption_agency
Adult DVD store,adult_dvd_store
Adult day care center,adult_day_care_center
Adult education school,adult_education_school
Adult entertainment club,adult_entertainment_club
Adult entertainment store,adult_entertainment_store
Adult foster care service,adult_foster_care_service
Adventure sports,adventure_sports
Adventure sports center,adventure_sports_center
Advertising agency,advertising_agency
Aerated drinks supplier,aerated_drinks_supplier
Aerial photographer,aerial_photographer
Aerial sports center,aerial_sports_center
Aero dance class,aero_dance_class
Aerobics instructor,aerobics_instructor
Aeroclub,aeroclub
Aeromodel shop,aeromodel_shop
Aeronautical engineer,aeronautical_engineer
Aerospace company,aerospace_company
Afghan restaurant,afghani_restaurant
African goods store,african_goods_store
African restaurant,african_restaurant
After school program,after_school_program
Aged care,senior_citizens_care_service
Agenzia Entrate,agenzia_entrate
Aggregate supplier,aggregate_supplier
Agistment service,agistment_service
Agricultural association,agricultural_association
Agricultural cooperative,agricultural_cooperative
Agricultural engineer,agricultural_engineer
Agricultural high school,agricultural_high_school
Agricultural machinery manufacturer,agricultural_machinery_manufacturer
