name,external_id,category_id
3D printing service,three_d_printing_service,ff1a979f-dd5f-4b72-a0f6-d5c50c4d84a4
ATM,atm,f70d5ca8-1bea-4fb4-b3ed-6b99ff283950
ATV dealer,atv_dealer,e869c62d-41ab-4c15-bc6a-f7883d248a3e
ATV rental service,atv_rental_service,4f2012c9-c9b1-4b8c-9f98-c865898dfed3
ATV repair shop,atv_repair_shop,c0b10894-fc49-4d37-ba2e-0005181acec1
Aadhar center,aadhar_center,e96169fd-9a9b-400b-9475-56ff89fa58cf
Abarth dealer,abarth_dealer,2db87af4-ef6b-47f8-afce-340a1c83e219
Abbey,abbey,bd711840-7120-4678-b8a7-790bc8a2964b
Aboriginal and Torres Strait Islander organisation,aboriginal_and_torres_strait_islander_organisation,5ec5554c-0620-4289-acbe-f32ba35be46d
Aboriginal art gallery,aboriginal_art_gallery,432650b4-b106-4f02-af28-90c1dff985b0
Abortion clinic,abortion_clinic,ee0af3dd-8525-4ec6-bbd0-901d92130645
Abrasives supplier,abrasives_supplier,202b7861-50bf-45d6-8d38-f6a93c885e95
Abundant Life church,abundant_life_church,01d2d80c-d4cd-4b18-bf7f-1b6abe55c975
Academic department,university_department,676b3eeb-bc39-42bc-bbbb-f07c76aba91a
Acaraje restaurant,acaraje_restaurant,732b84c5-1071-4887-a12a-88fceb0a67a6
Accountant,accountant,23773fd8-2b63-4dae-b87f-a298418d4403
Accounting firm,accounting_firm,50a5a255-0230-424e-99f0-9ffd19326c97
Accounting school,accounting_school,2520dcc0-e645-4011-a9e8-079022df4ec8
Accounting software company,accounting_software_company,bdcea5cd-13a2-49bf-a75c-fd01e66dbad7
Acoustical consultant,acoustical_consultant,e5da69ae-394d-423b-92c9-ac1481fbc660
Acrobatic diving pool,acrobatic_diving_pool,5b85064a-4e1c-4a2a-b314-d74431b89325
Acrobatic diving pool,acrobatic_diving_pool,296c5f9a-552b-434f-af8d-26cd409aee2d
Acrylic store,acrylic_store,7911a122-8f85-44e9-8235-7f7fe53cbf98
Acupuncture clinic,acupuncture_clinic,2c2b66e8-1da4-4f27-ad29-7091c008c4c0
Acupuncture school,acupuncture_school,31c775e0-554d-47c4-ab56-c045b8daaaee
Acupuncturist,acupuncturist,82f33ed9-c1f1-4d13-a675-f10886d5549d
